time;real_x;real_y;real_phi;predict_x;predict_y;predict_phi;update_x;update_y;update_phi
0,02;-25,00146;16,40062;90,0938; -25;16,4;90,00001; -25;16,4;90,00001
0,1000509;-25,00015;16,40129;90,06803; -25;16,4;90,00001; -25;16,4;90,00001
0,1381586;-24,9991;16,40187;90,115; -25;16,4;90,00001; -25;16,4;90,00001
0,1746859;-24,99986;16,40055;90,15923; -25;16,4;90,00001; -25;16,4;90,00001
0,2074309;-25,0008;16,401;90,05383; -25;16,4;90,00001; -25;16,4;90,00001
0,2602863;-24,99925;16,40093;90,23095; -25;16,4;90,00001; -25;16,4;90,00001
0,2983547;-24,9974;16,40008;90,17168; -25;16,4;90,00001; -25;16,4;90,00001
0,3218503;-24,99679;16,40025;90,12858; -25;16,4;90,00001; -25;16,4;90,00001
0,345943;-24,99784;16,39982;89,97031; -25;16,4;90,00001; -25;16,4;90,00001
0,3788263;-24,99828;16,39965;90,04481; -25;16,4;90,00001; -25;16,4;90,00001
0,4000897;-24,99883;16,40067;90,06541; -25;16,4;90,00001; -25;16,4;90,00001
0,4234693;-24,99927;16,4013;89,96799; -25;16,4;90,00001; -25;16,4;90,00001
0,4490403;-24,99815;16,40285;90,04735; -25;16,4;90,00001; -25;16,4;90,00001
0,4708605;-24,99875;16,40469;90,26878; -25;16,4;90,00001; -25;16,4;90,00001
0,4933747;-24,99858;16,40609;90,44055; -25;16,4;90,00001; -25;16,4;90,00001
0,5206487;-24,99789;16,40664;90,43326; -25;16,4;90,00001; -25;16,4;90,00001
0,5454424;-24,99914;16,40517;90,44344; -25;16,4;90,00001; -25;16,4;90,00001
0,5665559;-24,99907;16,40611;90,6356; -25;16,4;90,00001; -25;16,4;90,00001
0,5915323;-24,99781;16,40604;90,60161; -25;16,4;90,00001; -25;16,4;90,00001
0,6178752;-24,99775;16,40589;90,60188; -25;16,4;90,00001; -25;16,4;90,00001
0,6397351;-24,99638;16,40498;90,64417; -25;16,4;90,00001; -25;16,4;90,00001
0,6617772;-24,99533;16,40528;90,65636; -25;16,4;90,00001; -25;16,4;90,00001
0,688061;-24,99591;16,40527;90,70687; -25;16,4;90,00001; -25;16,4;90,00001
0,7123815;-24,99473;16,40475;90,66584; -25;16,4;90,00001; -25;16,4;90,00001
0,7345943;-24,99589;16,40657;90,68198; -25;16,4;90,00001; -25;16,4;90,00001
0,7624927;-24,99644;16,40676;90,68914; -25;16,4;90,00001; -25;16,4;90,00001
0,7841837;-24,99693;16,40738;90,58103; -25;16,4;90,00001; -24,99966;16,39829;90,12213
0,8094048;-24,99633;16,40758;90,64928; -25;16,4;90,00001; -24,99979;16,39824;90,12754
0,8364381;-24,99869;16,40604;90,61079; -25;16,4;90,00001; -25,00079;16,39837;90,13081
0,8582856;-24,99789;16,40509;90,7154; -25;16,4;90,00001; -25,00154;16,39847;90,13226
0,8833402;-24,99794;16,40483;90,71933; -25;16,4;90,00001; -25,00196;16,39854;90,13262
0,9127804;-24,99834;16,40427;90,61688; -25;16,4;90,00001; -25,00171;16,39851;90,13177
0,933606;-24,99825;16,40593;90,46402; -25;16,4;90,00001; -25,00053;16,39834;90,12978
0,9549492;-24,99875;16,40533;90,52489; -25;16,4;90,00001; -25,00059;16,39834;90,1306
0,9827645;-25,001;16,40593;90,51344; -25;16,4;90,00001; -25,00166;16,39849;90,13268
1,004105;-25,00162;16,40536;90,54292; -25;16,4;90,00001; -25,00269;16,39865;90,13387
1,025504;-25,00193;16,40451;90,49995; -25;16,4;90,00001; -25,00308;16,39872;90,13371
1,055902;-25,00216;16,40535;90,55423; -25;16,4;90,00001; -25,00375;16,39882;90,13423
1,077427;-25,00338;16,40564;90,43107; -25;16,4;90,00001; -25,00594;16,38919;90,02839
1,099217;-25,002;16,40486;90,39982; -25;16,4;90,00001; -25,00533;16,38724;90,00063
1,124611;-25,00205;16,40641;90,1971; -25;16,4;90,00001; -25,00492;16,39773;89,83619
1,160221;-25,00199;16,40501;90,21882; -25;16,4;90,00001; -25,01925;16,4169;89,55462
1,182985;-25,00119;16,40397;90,1853; -25;16,4;90,00001; -25,02627;16,42804;89,51126
1,207979;-24,99967;16,40382;90,22133; -25;16,4;90,00001; -25,02929;16,4363;89,54298
1,236389;-25,00014;16,40423;90,05448; -25;16,4;90,00001; -25,03172;16,43996;89,56979
1,258983;-25,00028;16,40386;89,9664; -25;16,4;90,00001; -25,03334;16,44162;89,58714
1,284977;-25,00037;16,40358;89,78461; -25;16,4;90,00001; -25,03448;16,44093;89,5809
1,312305;-25,00019;16,40213;89,70005; -25;16,4;90,00001; -25,03506;16,43951;89,5638
1,334277;-25,00074;16,40218;89,8363; -25;16,4;90,00001; -25,03548;16,43969;89,56374
1,359636;-24,99962;16,40157;89,98962; -25;16,4;90,00001; -25,03497;16,44166;89,58126
1,387781;-24,9988;16,40233;89,99104; -25;16,4;90,00001; -25,03435;16,44332;89,59768
1,409452;-24,99909;16,40232;90,09019; -25;16,4;90,00001; -25,03406;16,44569;89,62489
1,431519;-24,99918;16,40177;90,23636; -25;16,4;90,00001; -25,03481;16,43878;89,77103
1,460088;-24,99906;16,40166;90,30064; -25;16,4;90,00001; -25,03434;16,43374;90,00279
1,482624;-24,99921;16,40193;90,29414; -25;16,4;90,00001; -25,03412;16,43121;90,09027
1,504696;-24,99828;16,40289;90,37843; -25;16,4;90,00001; -25,02487;16,39865;89,75964
1,53619;-24,99819;16,40146;90,3837; -25;16,4;90,00001; -25,02287;16,39112;89,7145
1,55861;-24,99901;16,40303;90,46727; -25;16,4;90,00001; -25,02131;16,40064;89,82829
1,581629;-24,99915;16,40389;90,32072; -25;16,4;90,00001; -25,01911;16,39589;89,76991
1,611005;-24,99939;16,40335;90,33343; -25;16,4;90,00001; -25,01848;16,39391;89,7433
1,633362;-24,99784;16,4047;90,33848; -25;16,4;90,00001; -25,01766;16,39388;89,73259
1,656186;-24,99822;16,40328;90,35512; -25;16,4;90,00001; -25,01784;16,39347;89,72865
1,687754;-24,99792;16,40376;90,20144; -25;16,4;90,00001; -25,01677;16,39643;89,61935
1,716625;-24,99642;16,4046;90,20731; -25;16,4;90,00001; -25,01466;16,39645;89,57446
1,739382;-24,99542;16,40529;90,26392; -25;16,4;90,00001; -25,01322;16,39551;89,5518
1,766804;-24,99565;16,40435;90,07325; -25;16,4;90,00001; -25,00529;16,3989;89,47345
1,789843;-24,99579;16,40577;90,06033; -25;16,4;90,00001; -25,00283;16,40132;89,46558
1,818694;-24,99426;16,40559;90,13; -25;16,4;90,00001; -25,00115;16,40375;89,47525
1,843751;-24,99359;16,40547;90,12205; -25;16,4;90,00001; -25,00004;16,40548;89,48629
1,866451;-24,9941;16,40677;90,04134; -25;16,4;90,00001; -24,99964;16,40597;89,49132
1,893867;-24,99456;16,40517;90,22999; -25;16,4;90,00001; -25,00381;16,39725;89,50916
1,916495;-24,99351;16,40611;90,36386; -25;16,4;90,00001; -25,02277;16,40561;89,80187
1,944769;-24,994;16,40734;90,24018; -25;16,4;90,00001; -25,01629;16,40046;89,64489
