time;real_x;predict_x;update_x;real_y;predict_y;update_y;real_phi;predict_phi;update_phi
23,62118;-1,98509;-2;-2;0;0;0;0;0;0
23,83081;-1,962547;-1,993525;-1,993525;0;0;0;0;0;0
24,05566;-1,910999;-1,798924;-1,798924;0;0;0;0;0;0
24,2795;-1,690723;-1,723645;-1,723645;0;0;0;0;0;0
24,50285;-1,542053;-1,384947;-1,384947;0;0;0;0;0;0
24,72386;-1,443569;-1,359864;-1,359864;0;0;0;0;0;0
24,94158;-1,43623;-1,357936;-1,418847;0;0;1,962068E-08;0;0;6,297101E-07
25,1417;-1,435675;-1,357769;-1,419085;0;0;2,426804E-08;0;0;1,07782E-06
25,36598;-1,43562;-1,357755;-1,418164;0;0;-1,950532E-08;0;0;7,054558E-07
25,58193;-1,387567;-1,174456;-1,366673;0;0;3,121108E-07;0;0;-1,045609E-06
25,78391;-1,036372;-0,7705106;-1,01661;0;0;2,166408E-07;0;0;-7,804016E-07
26,0065;-0,9049228;-0,7378089;-0,8844683;0;0;3,990894E-07;0;0;-1,426963E-06
26,22389;-0,8952103;-0,7352878;-0,8732706;0;0;5,633153E-07;0;0;-4,184937E-06
26,44659;-0,8944424;-0,7350982;-0,8725575;0;0;1,276564E-07;0;0;-9,361739E-07
26,66223;-0,8943858;-0,7350833;-0,8725299;0;0;-2,538285E-07;0;0;2,316594E-06
26,86328;-0,8141117;-0,5072343;-0,7400062;0,001334008;0;0,02896366;2,703789;7,673037;3,937375
27,0865;-0,418957;-0,2030598;-0,433808;0,06104473;0,04098026;0,05003884;14,74502;7,673037;3,937375
27,31236;-0,3315102;-0,1814312;-0,4120355;0,08405943;0,0438942;0,05153741;14,74502;7,673037;3,937375
27,51378;-0,3255142;-0,1796393;-0,4102317;0,08563749;0,04413562;0,05166156;14,74502;7,673037;3,937375
27,72221;-0,3249513;-0,1794751;-0,7284371;0,08578563;0,04415774;-0,5787728;14,74502;7,673037;5,548692
27,95074;-0,324898;-0,1794622;-0,7661669;0,08579964;0,04415947;-0,591962;14,74502;7,673037;5,647308
28,17334;-0,3248945;-0,1794613;-0,7741189;0,08580057;0,04415959;-0,5910168;14,74502;7,673037;5,659146
28,37665;-0,3248942;-0,1794612;-0,7764759;0,08580064;0,04415961;-0,5898397;14,74502;7,673037;5,660765
28,58177;-0,3248942;-0,1794612;-0,7772917;0,08580064;0,04415961;-0,5892825;14,74502;7,673037;5,660997
28,7849;-0,3440113;-0,282808;-0,8249925;0,08076933;0,03023609;-0,5866908;14,74502;7,673037;5,556784
29,00565;-0,6706486;-0,614595;-1,162403;-0,00519673;-0,0144643;-0,6457496;14,74502;7,673037;5,611424
29,22651;-0,7718098;-0,64091;-0,7741172;-0,03182084;-0,01800962;-0,3824473;14,74502;7,673037;11,08581
29,43048;-0,7980375;-0,7461212;-0,7830514;-0,03872358;-0,03218431;-0,05845517;14,74502;7,673037;14,78225
29,65252;-0,947194;-0,7977492;-0,9344319;-0,07797932;-0,03913996;-0,07579207;14,74502;7,673037;14,80278
29,86508;-0,9624971;-0,8019262;-0,9563557;-0,08200683;-0,0397027;-0,08508033;14,74502;7,673037;14,87617
30,08871;-0,9637541;-0,8022442;-0,9583895;-0,08233766;-0,03974554;-0,085563;14,74502;7,673037;14,88903
30,31097;-0,9638459;-0,8022676;-0,9585783;-0,08236181;-0,03974869;-0,08558074;14,74502;7,673037;14,89121
30,53623;-0,9638527;-0,8022692;-0,9585985;-0,08236361;-0,03974891;-0,0855848;14,74502;7,673037;14,89159
30,74006;-0,7423034;-0,3982655;-0,4635022;-0,01112114;0,01468096;0,3052907;22,33057;21,40117;27,89577
30,96391;-0,534517;-0,3417036;-0,4974293;0,08624958;0,03684867;0,09028444;26,97944;21,40117;27,12314
31,18695;-0,517709;-0,3373662;-0,4860926;0,09480612;0,03854857;0,09737977;26,97944;21,40117;26,91621
31,40094;-0,5164508;-0,3370215;-0,484696;0,09544668;0,03868365;0,09738772;26,97944;21,40117;26,88108
31,61874;-0,5163488;-0,336994;-0,4844897;0,09549858;0,03869445;0,09733672;26,97944;21,40117;26,875
31,82138;-0,5163408;-0,3369915;-0,4844327;0,0955027;0,03869542;0,0973219;26,97944;21,40117;26,87394
32,03358;-0,5085629;-0,2786264;-0,4705198;0,09946217;0,06156983;0,1021679;26,68555;19,29011;26,26808
32,25665;-0,2084209;0,1424558;-0,1662504;0,2206904;0,2089492;0,2341352;15,77045;4,266291;14,98469
32,45692;-0,08646839;0,1800997;-0,08002827;0,2551316;0,2117573;0,2553712;15,77045;4,266291;15,68983
32,66418;-0,07441059;0,1836254;-0,07275438;0,2585369;0,2120204;0,2557248;15,77045;4,266291;15,80842
32,87886;0,0003215037;0,4205183;0,108227;0,2783446;0,2296923;0,338525;13,17799;-3,733477;11,56974
33,08503;0,2947204;0,5625955;0,2920077;0,3261925;0,2204212;0,3158621;6,220093;-3,733477;7,193818
33,30825;0,3400581;0,5738136;0,368013;0,3311338;0,2196892;0,3298001;6,220093;-3,733477;6,325736
33,52844;0,3433771;0,5746544;0,3764058;0,3314956;0,2196343;0,3314637;6,220093;-3,733477;6,17462
33,74091;0,34363;0,5747229;0,3774577;0,3315231;0,2196298;0,3317274;6,220093;-3,733477;6,148328
33,96465;0,3436512;0,5747281;0,3776183;0,3315254;0,2196295;0,3317704;6,220093;-3,733477;6,143747
34,17596;0,3436528;0,5747285;0,3776585;0,3315256;0,2196295;0,3317747;6,220093;-3,733477;6,142938
34,39006;0,3436529;0,5747286;0,3776811;0,3315256;0,2196295;0,3317736;6,220093;-3,733477;6,142776
34,60817;0,3436529;0,5747286;0,3776997;0,3315256;0,2196295;0,3317709;6,220093;-3,733477;6,142733
34,82018;0,3436529;0,5747286;0,3777175;0,3315256;0,2196295;0,3317689;6,220093;-3,733477;6,142706
35,0349;0,3436529;0,5747286;0,3777336;0,3315256;0,2196295;0,3317662;6,220093;-3,733477;6,142685
35,25909;0,3436529;0,5747286;0,3777489;0,3315256;0,2196295;0,3317642;6,220093;-3,733477;6,142663
35,48303;0,3436529;0,5747286;0,3777633;0,3315256;0,2196295;0,3317622;6,220093;-3,733477;6,142646
