range;angle
33,7151;0
35,37245;0,01256637
35,38083;0,02513274
34,14293;0,03769911
32,90022;0,05026549
32,92363;0,06283186
32,95229;0,07539823
25,39359;0,0879646
25,40483;0,100531
32,58284;0,1130973
32,63198;0,1256637
35,71029;0,1382301
32,8355;0,1507965
32,76289;0,1633628
32,83349;0,1759292
34,47539;0,1884956
34,56097;0,2010619
34,65245;0,2136283
36,29418;0,2261947
33,48148;0,2387611
33,58686;0,2513274
21,48813;0,2638938
20,68548;0,2764601
20,76114;0,2890265
20,84065;0,3015929
20,9241;0,3141592
35,85865;0,3267256
37,50797;0,3392919
36,06879;0,3518583
34,61724;0,3644246
29,67744;0,376991
29,20117;0,3895574
28,76866;0,4021237
28,92553;0,4146901
19,20065;0,4272564
18,68688;0,4398228
18,79953;0,4523892
18,00224;0,4649555
17,56365;0,4775219
17,50253;0,4900882
17,62206;0,5026546
17,74606;0,515221
17,87465;0,5277874
18,02928;0,5403538
18,04694;0,5529202
18,18943;0,5654866
18,33711;0,5780529
18,49016;0,5906193
18,54249;0,6031857
13,94786;0,6157521
13,70552;0,6283185
13,47355;0,6408849
13,25136;0,6534513
12,83327;0,6660177
12,63226;0,678584
12,43938;0,6911504
12,25421;0,7037168
12,20134;0,7162832
12,33727;0,7288496
12,47825;0,741416
12,62452;0,7539824
12,77629;0,7665488
12,971;0,7791151
13,13504;0,7916815
13,3054;0,8042479
13,48239;0,8168143
13,66635;0,8293807
14,10496;0,8419471
14,30746;0,8545135
14,51818;0,8670799
15,25579;0,8796462
15,10001;0,8922126
14,94972;0,904779
15,16281;0,9173454
15,41705;0,9299118
15,68248;0,9424782
15,93371;0,9550446
16,22313;0,967611
9,543948;0,9801773
9,464954;0,9927437
9,388727;1,00531
9,315178;1,017876
9,24422;1,030443
9,175773;1,043009
9,109759;1,055575
9,046107;1,068142
9,207215;1,080708
9,430075;1,093274
8,899652;1,105841
8,844599;1,118407
8,7916;1,130973
8,740607;1,14354
8,691566;1,156106
8,644428;1,168672
8,599151;1,181239
8,555689;1,193805
8,514002;1,206371
8,604115;1,218938
8,909775;1,231504
9,239465;1,24407
9,900492;1,256637
10,29964;1,269203
10,80225;1,281769
11,13358;1,294336
11,6505;1,306902
12,33001;1,319468
12,96559;1,332035
13,85528;1,344601
14,45909;1,357167
14,72532;1,369734
16,27128;1,3823
17,51781;1,394866
18,1835;1,407433
20,77233;1,419999
22,00683;1,432565
26,08963;1,445132
27,26115;1,457698
31,03128;1,470264
34,68502;1,482831
39,05389;1,495397
50;1,507963
50;1,52053
50;1,533096
50;1,545662
50;1,558228
50;1,570795
50;1,583361
25,81606;1,595927
16,75102;1,608494
12,29691;1,62106
9,202575;1,633626
8,76629;1,646193
7,960406;1,658759
7,969867;1,671325
7,980613;1,683892
7,992652;1,696458
8,005993;1,709024
8,020648;1,721591
8,036628;1,734157
8,053946;1,746723
8,072616;1,75929
10,62058;1,771856
10,00455;1,784422
9,457479;1,796989
8,968479;1,809555
8,528841;1,822121
8,131515;1,834688
7,770733;1,847254
7,441731;1,85982
7,140541;1,872387
6,863821;1,884953
6,608753;1,897519
6,372935;1,910086
6,154305;1,922652
5,951085;1,935218
5,761739;1,947785
5,584925;1,960351
5,41947;1,972917
5,264344;1,985484
5,118638;1,99805
4,981543;2,010616
4,852348;2,023183
4,730414;2,035749
4,615167;2,048315
4,506098;2,060882
4,402743;2,073448
4,304689;2,086014
4,211557;2,098581
4,123007;2,111147
4,038729;2,123713
3,95844;2,13628
3,881881;2,148846
3,808819;2,161412
3,739035;2,173979
3,672331;2,186545
3,608526;2,199111
3,547451;2,211678
3,48895;2,224244
3,432881;2,23681
3,379111;2,249377
3,327516;2,261943
3,277984;2,274509
3,230407;2,287076
3,184686;2,299642
3,140732;2,312208
3,098456;2,324775
3,05778;2,337341
3,018628;2,349907
2,980931;2,362473
2,944624;2,37504
2,909644;2,387606
2,875934;2,400172
2,843441;2,412739
2,812112;2,425305
2,781901;2,437871
2,752762;2,450438
2,724653;2,463004
2,697534;2,47557
2,671367;2,488137
2,646116;2,500703
2,621749;2,513269
2,598233;2,525836
2,575538;2,538402
2,553636;2,550968
2,5325;2,563535
2,512104;2,576101
2,492425;2,588667
2,473439;2,601234
2,455125;2,6138
2,437462;2,626366
2,42043;2,638933
2,404013;2,651499
2,388191;2,664065
2,372948;2,676632
2,358269;2,689198
2,344138;2,701764
2,330541;2,714331
2,317465;2,726897
2,304897;2,739463
2,292824;2,75203
2,281236;2,764596
2,270121;2,777162
2,259469;2,789729
2,249269;2,802295
2,239514;2,814861
2,230193;2,827428
2,221299;2,839994
2,212824;2,85256
2,20476;2,865127
2,1971;2,877693
2,189838;2,890259
2,182967;2,902826
2,176482;2,915392
2,170377;2,927958
2,164647;2,940525
2,159287;2,953091
2,154293;2,965657
2,149661;2,978224
2,145386;2,99079
2,141467;3,003356
2,137898;3,015923
2,134678;3,028489
2,131804;3,041055
2,129273;3,053622
2,127083;3,066188
2,125234;3,078754
2,123723;3,091321
2,122548;3,103887
2,12171;3,116453
2,121208;3,129019
2,12104;3,141586
2,121208;3,154152
2,121711;3,166718
2,122548;3,179285
2,123723;3,191851
2,125234;3,204417
2,127084;3,216984
2,129273;3,22955
2,131804;3,242116
2,134678;3,254683
2,137898;3,267249
2,141467;3,279815
2,145386;3,292382
2,149661;3,304948
2,154293;3,317514
2,159287;3,330081
2,164647;3,342647
2,170377;3,355213
2,176482;3,36778
2,182967;3,380346
2,189838;3,392912
2,1971;3,405479
2,20476;3,418045
2,212825;3,430611
2,2213;3,443178
2,230194;3,455744
2,239515;3,46831
2,24927;3,480877
2,25947;3,493443
2,270122;3,506009
2,281237;3,518576
2,292825;3,531142
2,304898;3,543708
2,317466;3,556275
2,330543;3,568841
2,344139;3,581407
2,35827;3,593974
2,37295;3,60654
2,388192;3,619106
2,404014;3,631673
2,420432;3,644239
2,437464;3,656805
2,455126;3,669372
2,47344;3,681938
2,492426;3,694504
2,512106;3,707071
2,532501;3,719637
2,553638;3,732203
2,57554;3,74477
2,598235;3,757336
2,621751;3,769902
2,646118;3,782469
2,671369;3,795035
2,697536;3,807601
2,724655;3,820168
2,752764;3,832734
2,781903;3,8453
2,812114;3,857867
2,843443;3,870433
2,875937;3,882999
2,909647;3,895566
2,944627;3,908132
2,980935;3,920698
3,018632;3,933264
3,057783;3,945831
3,09846;3,958397
3,140736;3,970963
3,184691;3,98353
3,230411;3,996096
3,277988;4,008663
3,327521;4,021229
3,379116;4,033796
3,432887;4,046362
3,488955;4,058929
3,547456;4,071496
3,608532;4,084062
3,672338;4,096629
3,739041;4,109195
3,808825;4,121762
3,881889;4,134328
3,958447;4,146895
4,038737;4,159461
4,123015;4,172028
4,211566;4,184595
4,304698;4,197161
4,402753;4,209728
4,506108;4,222294
4,615178;4,234861
4,730424;4,247427
4,85236;4,259994
4,981555;4,272561
5,118649;4,285127
5,264357;4,297694
5,419484;4,31026
5,584939;4,322827
5,761755;4,335393
5,951102;4,34796
6,154324;4,360527
6,372955;4,373093
6,540007;4,38566
4,993321;4,398226
4,973407;4,410793
4,954432;4,423359
4,936376;4,435926
4,919226;4,448493
4,902966;4,461059
4,887583;4,473626
4,873063;4,486192
4,859394;4,498759
4,846565;4,511325
4,834564;4,523892
4,823383;4,536458
4,813012;4,549025
4,803442;4,561592
4,794665;4,574158
4,786675;4,586725
4,779466;4,599291
5,309971;4,611858
6,218073;4,624424
4,679645;4,636991
4,675575;4,649558
4,672251;4,662124
4,669667;4,674691
4,667823;4,687257
4,666718;4,699824
4,666349;4,71239
4,666718;4,724957
4,667824;4,737524
4,669667;4,75009
4,672251;4,762657
4,675576;4,775223
4,679645;4,78779
4,684462;4,800356
4,69003;4,812923
4,696353;4,82549
4,703438;4,838056
5,571872;4,850623
5,110648;4,863189
4,8722;4,875756
4,882699;4,888322
4,894018;4,900889
4,906166;4,913455
4,919153;4,926022
4,93299;4,938589
4,947689;4,951155
4,963261;4,963722
4,979721;4,976288
4,997082;4,988855
5,015359;5,001421
5,034569;5,013988
5,054728;5,026555
5,075853;5,039121
5,097964;5,051688
5,12108;5,064254
6,114044;5,076821
5,919512;5,089387
5,737856;5,101954
5,567871;5,114521
5,408497;5,127087
5,278277;5,139654
5,309071;5,15222
5,341075;5,164787
5,374322;5,177353
5,408844;5,18992
5,444678;5,202487
3,515327;5,215053
3,465593;5,22762
3,437369;5,240186
3,421593;5,252753
3,415404;5,265319
3,417903;5,277886
3,429457;5,290452
3,451896;5,303019
3,490574;5,315586
3,571237;5,328152
5,861527;5,340719
5,916006;5,353285
5,972459;5,365852
6,030962;5,378418
6,091593;5,390985
6,154438;5,403552
6,219585;5,416118
6,287129;5,428685
6,357172;5,441251
6,429819;5,453818
6,743879;5,466384
6,655346;5,478951
6,570132;5,491518
4,531997;5,504084
4,446505;5,516651
4,4083;5,529217
4,390358;5,541784
4,387397;5,55435
4,398792;5,566917
4,427368;5,579484
4,485215;5,59205
7,699011;5,604617
7,799826;5,617183
7,927221;5,62975
8,06014;5,642316
8,198908;5,654883
8,343881;5,667449
8,495438;5,680016
8,640281;5,692583
8,568767;5,705149
8,731091;5,717716
8,908185;5,730282
9,094077;5,742849
9,289391;5,755415
9,756587;5,767982
9,978829;5,780549
10,21308;5,793115
10,46029;5,805682
10,81722;5,818248
10,82982;5,830815
11,11817;5,843381
11,42415;5,855948
11,9613;5,868515
11,96897;5,881081
12,33438;5,893648
12,72487;5,906214
13,34201;5,918781
13,79762;5,931347
18,61082;5,943914
11,51719;5,956481
11,46926;5,969047
11,42352;5,981614
11,37993;5,99418
11,33846;6,006747
11,29907;6,019313
11,26172;6,03188
11,22639;6,044446
11,19304;6,057013
11,16164;6,06958
11,13217;6,082146
11,10461;6,094713
11,07893;6,107279
11,0551;6,119846
11,03312;6,132412
11,02816;6,144979
25,46745;6,157546
28,75785;6,170112
25,44719;6,182679
25,41907;6,195245
25,39503;6,207812
27,02292;6,220378
33,81984;6,232945
35,39481;6,245512
33,7639;6,258078
33,73682;6,270645
